# generated on 2025-09-02 19:11:39.042695736 UTC with Config {startDate = 2021-08-01 00:00:00 UTC, endDate = 2025-08-01 00:00:00 UTC}
githubId,githubUsername,commits,merges
13149442,npulidomateo,8,0
13155277,tomhoule,22,0
13155506,NotExactlySiev,1,0
1315818,Stunkymonkey,1883,384
131599,mweinelt,21926,7602
131599858,pillowtrucker,2,0
13170557,Diamondy4,2,0
1317177,rhogenson,1,0
1317472,proski,2,0
13177364,nepet,5,0
13179,jonochang,5,0
131853076,gngram,26,0
131856,raboof,177,234
1318743,ivarmedi,3,0
131907205,DOD-101,4,0
131929,nim65s,272,2
132031693,stereomato,1,0
132113,robx,6,0
132144514,Levizor,8,0
13214574,Amanse,4,0
132207423,soispha,11,0
1322201,yochai,1,0
13225611,penguwin,19,0
1322812,TLINDEN,1,0
13240467,tim-tx,2,0
13242722,kjhoerr,16,0
13244408,diogox,3,0
13254627,inexcode,2,0
132572320,VeilSilence,1,0
132582212,michaelCTS,2,0
13266308,WillPower3309,1,0
13267947,emilytrau,328,328
